quesition,answer,quewstion_korean,number
I really need some help with the presentation graphics.,Insook can do those for you.,발표 시각 자료에 도움이 절실히 필요해요.,10회-17
Can I play my bill with a credit card?,"Sure, that's fine.",신용카드로 계산해도 될까요?,10회-10
Where do you plan to stay during your visit to the city?,At a friend's house.,그 도시를 방문하는 동안 어디서 묵을 계획이에요?,10회-12
Why are you installing new software?,Because our current software is outdated.,왜 새 소프트웨어를 설치하고 있어요?,10회-21
"Do you take exercise classes too, or just dance classes?",I only take dance.,"운동 강좌도 듣나요, 아니면 그냥 춤 강좌만 듣나요?",10회-14
Why isn't Ms. Perez here yet?,Because she's meeting with her manager.,페레즈 씨는 왜 아직 안 왔나요?,10회-25
Did you already prepare the agenda for the department meeting?,It was postponed.,부서 회의 안건을 이미 준비하셨나요?,10회-19
I heard that our company might be merging with another one.,"Oh, I didn't know that.",우리 회사가 다른 회사와 합병할 수도 있다고 들었어요.,10회-26
How often does the research team schedule training sessions?,Every other week.,연구팀은 얼마나 자주 교육 시간을 잡나요?,10회-9
Could you ask the next patient to come in?,The waiting room is empty.,다음 환자에게 들어오라고 해 주시겠어요?,10회-27
