quesition,answer,quewstion_korean,number
Have you put price tags on all the clearance items?,"Yes, everything's been labeled.",재고 정리 품목에 가격표를 전부 붙였나요?,1회-14 (3권)
Who's responsible for researching the housing market in India?,The senior director is heading up that team.,인도 주택 시장 조사는 누가 담당하나요?,1회-29 (3권)
Isn't that carmaker planning to start exporting electric cars?,"Yes, I've heard that's the plan.",저 자동차 회사는 전기 자동차 수출을 시작할 계획 아닌가요?,1회-27 (3권)
"I can buy a monthly gym membership, right?","Yes, at the front desk.",헬스클럽 월 회원권을 살 수 있죠?,1회-13 (3권)
Who's doing the product demonstration this afternoon?,I'm leaving for New York at lunchtime.,오늘 오후에 제품 시연은 누가 하나요?,1회-22 (3권)
"You use the company fitness center, don't you?","Yes, every now and then.",회사 피트니스 센터를 이용하시죠?,1회-8 (3권)
How do I reset my password?,You should call the help desk.,비밀번호는 어떻게 재설정하나요?,1회-18 (3권)
Would you like to have lunch with the clients?,"Sure, we can go to the cafe downstaris.",고객들과 같이 점심 드실래요?,1회-25 (3권)
Why was this afternoon's meeting canceled?,Because the manager is out of the office.,오늘 오후 회의는 왜 취소됐나요?,1회-7 (3권)
Could you check to see if that monitor is plugged in?,Do you want me to check them all?,저 모니터 전원이 연결돼 있는지 확인해 주시겠어요?,1회-19 (3권)
How often do I have to submit my time sheet?,You need to do it once a week.,근무 시간 기록부를 얼마나 자주 제출해야 하나요?,1회-12 (3권)
Is the new inventory process more efficient?,It only took me an hour.,새로운 재고 조사 절차가 더 효율적인가요?,1회-20 (3권)
Don't we still need to change the newspaper layout?,"No, it's already been changed.",그래도 신문 배치는 바꿔야 하지 않나요?,1회-15 (3권)
Don't you carry these shoes in red?,There's a new shipment coming tomorrow.,이 신발 빨간색은 없나요?,1회-24 (3권)
"David trained the interns to use the company database, didn't he?","Actually, it was Hillary.",데이비드가 인턴들에게 회사 데이터베이스를 활용하도록 교육했죠?,1회-28 (3권)
When are you moving to your new office?,The schedule is being revised.,언제 새 사무실로 옮기시나요?,1회-10 (3권)
Your presentation's being reviewed at today's mangers' meeting.,I didn't have much time to complete it.,오늘 관리자 회의에서 당신의 발표를 검토할 거예요.,1회-23 (3권)
These purchases should have been entered on your expense report.,I thought I had until Friday to do that.,이 구매품들은 지출 보고서에 입력됐어야 해요.,1회-31 (3권)
What's the total cost of the repair work?,It's free because of the warranty.,총 수리비가 얼마죠?,1회-16 (3권)
Where can I get a new filing cabinet?,All furniture requests must be approved first.,새 서류 캐비닛은 어디서 구할 수 있나요?,1회-17 (3권)
Would you like to sign up for the company retreat?,"Sure, I'll write my name down.",회사 수련회 신청하실래요?,1회-11 (3권)
"Have you arranged a ride to take us to the convetion center, or should I?",I don't have the phone number for the taxi service.,"우리가 컨벤션 센터까지 가는 교통편을 마련하셨나요, 아니면 제가 해야 하나요?",1회-30 (3권)
Do you have the images from the graphics department?,"No, they're not ready yet.",그래픽부에서 보낸 이미지 잇나요?,1회-9 (3권)
How about hiring an event planner to organize the holiday party?,There's not much money in the budget.,명절 파티를 준비하기 위해 행사 기획자를 고용한건 어때요?,1회-26 (3권)
Would you like some ice cream or cake for dessert?,I'm trying to avoid sugar.,"디저트는 아이스크림으로 하시겠어요, 아니면 케이크로 하시겠어요?",1회-21 (3권)
