quesition,answer,quewstion_korean,number
Who needs a copy of my safety training certificate?,Maksim does.,누가 제 안전 교육 수료증 사본이 필요하죠?,4회-12
I had chance to look over the contract this morning.,What did you think of it?,오늘 오전에 계약서를 훑어볼 기회가 있었어요.,4회-27
Where does she sell her handmade jewelry?,At a store in the city center.,그녀는 자신의 수제 보석을 어디서 파나요?,4회-14
What was the total charge for the hotel stay?,I'd have to look at the receipt.,호텔 투숙 총 비용이 얼마였죠?,4회-21
Where did you first learn about the job opening?,I read an online newspaper every morning.,이 구인 건을 어디서 처음 알게 되셨나요?,4회-19
I'd like to attend the job fair next month.,Registration closed yesterday.,다음 달 취업 박람회에 참석하고 싶어요.,4회-23
Could you phone Mr. feras and let him know we're in the hotel lobby?,"Yes, of course.",페라스 씨에게 전화해서 우리가 호텔 로비에 있다고 알려 주실 수 있어요?,4회-13
The market on Fifth Street is closed for a week.,Is there another one nearby?,5번 가 시장은 일주일간 닫아요.,4회-30
Hasn't anyone called you back for the second interview yet?,I'm still waiting.,아직 2차 면접 전화를 못 받으셨어요?,4회-24
How many tickets do we need for tonight's concert?,I'll buy mine at the door.,우리 오늘 밤 콘서트 티켓이 몇 장 필요하죠?,4회-25
Did you know that the music school is closed on Sundays?,"No, I didn't know that.",음악 학교가 일요일에는 문을 닫는 것을 알고 계셨나요?,5회-11
How many employees work in your department?,"A couple dozen, I think.",당신의 부서에서 근무하는 직원은 몇 명인가요?,5회-21
I suggest we paint the waiting room light blue.,That's good idea.,대기실을 하늘색으로 칠할 것을 제안합니다.,5회-10
Which airline are you planning on using?,The usual one.,어떤 항공사를 이용할 계획이시죠?,5회-18
When did you place the order for the lumber?,It's out of stock right now.,목재 주문을 언제 넣었나요?,5회-13
Isn't your suitcase going to be heavier than the permitted weight?,I'll have to pay a little bit extra.,당신의 여행 가방은 허용된 무게보다 무겁지 않을까요?,5회-28
The layout of the footwear department has changed.,The store has a new manager.,신발 코너 배치가 바뀌었네요.,5회-25
Should we meet at the department store oon Fifth Street or the one on Grover Lane?,Let's ask Patricia first.,"우리는 5번 가에 있는 백화점에서 만나는 게 좋을까요, 아니면 그 로버 길에 있는 백화점에서 만나는 게 좋을까요?",5회-30
Let's post the sales report to our team's Web page.,I can do that.,우리 팀 웹페이지에 영업 보고서를 게시합시다.,5회-17
Where is the new packaging machine?,We decided to keep the old one.,새 포장 기계는 어디 있죠?,5회-14
Which band is playing at the club tonight?,There's always a comedy show on Thursday nights.,오늘 밤 클럽에서 어느 밴드가 연주해요?,5회-31
Why haven't the windows been replaced yet?,Did you see the cost estimate?,창문을 왜 아직 교체하지 않았죠?,5회-27
Who paid for lunch?,Alberto did.,점심값은 누가 냈어요?,5회-20
"We should leave for our training course soon, shouldn't we?",We still have a few minutes.,이제 곧 교육받으러 가야 하죠?,5회-22
Where's this shipment of parts being sent?,To the assembly plant in Dublin.,더블린에 있는 조립 공장으로요.,5회-19
"There's meeting in the conference room soon, right?","Yes, it's for the whole department.",회의실에서 곧 회의가 있죠?,5회-7
Do you prefer writing in the morning or the afternoon?,Mornings are usually better for me.,"글을 오전에 쓰는 걸 선호하세요, 아니면 오후에 쓰는 걸 선호하세요?",5회-9
Isn't there a limit on travel expenses?,One hundred dollars per day.,출장비에 한도가 있지 않나요?,5회-23
Who manufactures the engines for our machines?,Koji is in charge of supplier contracts.,우리 기계 엔진은 누가 제조하나요?,5회-29
Why hasn't the mural in the lobby been painted yet?,Because the artist is out of town.,로비 벽화는 왜 아직 칠해지지 않았죠?,5회-8
